game_pk,official_date,pitcher_id,batters,leverage_sum,high_leverage_batters
632169,2021-04-10,459429,3,10.1309,3
632169,2021-04-10,468504,4,3.7177,0
632169,2021-04-10,571710,3,1.9214,0
632169,2021-04-10,592346,20,23.0181,0
632169,2021-04-10,606625,3,6.17,3
632169,2021-04-10,622075,3,3.3043,0
632169,2021-04-10,641386,4,5.6814,1
632169,2021-04-10,643511,4,10.3603,4
632169,2021-04-10,657277,23,30.449,4
632169,2021-04-10,670056,3,2.0563,0
632170,2021-04-11,451584,3,5.3019,3
632170,2021-04-11,501985,20,23.021,0
632170,2021-04-11,518813,7,5.9304,0
632170,2021-04-11,521230,5,16.7967,5
632170,2021-04-11,534910,3,6.8115,2
632170,2021-04-11,605130,5,7.165,1
632170,2021-04-11,607481,3,7.122,3
632170,2021-04-11,622092,3,13.0066,3
632170,2021-04-11,622251,3,6.2259,3
632170,2021-04-11,656302,21,28.7123,3
632170,2021-04-11,656629,7,12.447,6
632170,2021-04-11,676051,1,1.1428,0
632170,2021-04-11,676979,5,14.3963,5
632188,2021-04-11,501625,4,2.2981,0
632188,2021-04-11,543101,25,31.497,4
632188,2021-04-11,593974,5,0.4187,0
632188,2021-04-11,596112,1,0.301,0
632188,2021-04-11,608032,6,0.7125,0
632188,2021-04-11,608566,26,15.973,0
632188,2021-04-11,642068,4,0.0576,0
632188,2021-04-11,643511,5,1.4304,0
632189,2021-04-13,502624,18,18.363,0
632189,2021-04-13,543507,5,10.9658,4
632189,2021-04-13,592836,18,23.2251,2
632189,2021-04-13,593576,5,13.7258,5
632189,2021-04-13,612434,8,12.9321,7
632189,2021-04-13,621237,4,6.9158,4
632189,2021-04-13,621242,3,5.8759,3
632189,2021-04-13,641401,5,10.2205,5
632189,2021-04-13,668941,3,3.0886,0
632190,2021-04-13,457918,18,22.042,0
632190,2021-04-13,493603,4,8.4395,4
632190,2021-04-13,527048,24,20.5667,1
632190,2021-04-13,598264,3,2.6995,0
632190,2021-04-13,617228,3,5.2296,3
632190,2021-04-13,650382,5,16.4313,5
632190,2021-04-13,660896,4,2.3105,0
632190,2021-04-13,664054,1,1.6384,1
632190,2021-04-13,677976,11,18.8986,7
632191,2021-04-10,518397,6,0.2292,0
632191,2021-04-10,519076,5,3.0277,0
632191,2021-04-10,571578,21,15.2011,0
632191,2021-04-10,593833,5,0.1709,0
632191,2021-04-10,608723,3,0.3842,0
632191,2021-04-10,621348,8,1.4327,0
632191,2021-04-10,628711,25,18.4519,0
632191,2021-04-10,640448,2,0.1471,0
632191,2021-04-10,642701,5,0.2303,0
632192,2021-04-11,446321,4,3.2016,0
632192,2021-04-11,542914,4,0.9273,0
632192,2021-04-11,542947,3,1.734,0
632192,2021-04-11,544727,4,0.4035,0
632192,2021-04-11,571670,2,4.3606,1
632192,2021-04-11,573186,2,2.8239,0
632192,2021-04-11,592390,6,3.8178,0
632192,2021-04-11,592836,23,21.1207,0
632192,2021-04-11,595345,7,3.6501,0
632192,2021-04-11,612434,8,1.6252,0
632192,2021-04-11,622694,22,24.7375,0
632193,2021-04-10,453343,3,1.7577,0
632193,2021-04-10,519141,4,3.0301,0
632193,2021-04-10,543475,19,21.2032,1
632193,2021-04-10,605138,9,17.3006,9
632193,2021-04-10,605309,3,4.8466,2
632193,2021-04-10,622250,4,4.1371,0
632193,2021-04-10,656685,7,3.3963,0
632193,2021-04-10,657612,1,1.2342,0
632193,2021-04-10,663978,17,16.3879,0
632193,2021-04-10,676969,3,0.2799,0
632193,2021-04-10,677960,8,9.5146,1
632194,2021-04-13,467008,5,4.8247,0
632194,2021-04-13,502202,3,6.17,3
632194,2021-04-13,518886,5,19.6718,5
632194,2021-04-13,571521,3,3.2394,0
632194,2021-04-13,572193,3,3.0886,0
632194,2021-04-13,605177,4,12.3665,4
632194,2021-04-13,605540,23,32.4757,5
632194,2021-04-13,608718,5,10.3321,3
632194,2021-04-13,621219,15,13.5086,0
632194,2021-04-13,622780,3,2.1952,0
632195,2021-04-10,519443,5,0.1808,0
632195,2021-04-10,592094,3,0.0,0
632195,2021-04-10,593140,4,0.1818,0
632195,2021-04-10,596027,9,0.746,0
632195,2021-04-10,605200,13,13.178,0
632195,2021-04-10,605280,5,0.1903,0
632195,2021-04-10,621219,10,1.4539,0
632195,2021-04-10,621249,7,1.0799,0
632195,2021-04-10,656605,21,13.9894,0
632196,2021-04-11,474463,21,12.9895,0
632196,2021-04-11,502202,3,1.2617,0
632196,2021-04-11,594965,14,12.8866,0
632196,2021-04-11,642233,6,2.7723,0
632196,2021-04-11,643778,2,0.1602,0
632196,2021-04-11,650893,5,0.2533,0
632196,2021-04-11,656420,4,1.8993,0
632196,2021-04-11,656876,4,0.1633,0
632196,2021-04-11,663855,6,0.9655,0
632196,2021-04-11,670912,17,4.3808,0
632197,2021-04-12,502171,22,21.0232,0
632197,2021-04-12,518553,3,4.1231,2
632197,2021-04-12,594577,6,2.6543,0
632197,2021-04-12,594985,3,0.0,0
632197,2021-04-12,605130,5,6.0205,0
632197,2021-04-12,622092,2,0.0,0
632197,2021-04-12,623470,8,0.6768,0
632197,2021-04-12,641394,3,0.8181,0
632197,2021-04-12,642083,3,1.8788,0
632197,2021-04-12,663903,22,19.7193,0
632197,2021-04-12,672578,3,1.3752,0
632198,2021-04-12,502239,20,25.4654,5
632198,2021-04-12,506433,25,27.2912,2
632198,2021-04-12,593140,5,0.5853,0
632198,2021-04-12,593144,4,0.4881,0
632198,2021-04-12,605309,4,0.8006,0
632198,2021-04-12,613534,5,1.2034,0
632198,2021-04-12,665854,12,9.403,1
632199,2021-04-13,521230,3,10.0257,3
632199,2021-04-13,605359,3,7.2916,3
632199,2021-04-13,608337,26,40.1804,12
632199,2021-04-13,641582,2,2.3322,0
632199,2021-04-13,669456,31,45.8532,13
632199,2021-04-13,675916,3,6.0846,2
632199,2021-04-13,676979,4,12.1831,4
632200,2021-04-11,542888,7,0.4915,0
632200,2021-04-11,570488,7,0.0625,0
632200,2021-04-11,592169,5,2.6556,0
632200,2021-04-11,601713,27,16.0046,0
632200,2021-04-11,605347,21,20.3264,0
632200,2021-04-11,617228,5,0.8782,0
632200,2021-04-11,643316,4,0.0,0
632200,2021-04-11,669135,11,0.6765,0
632200,2021-04-11,669330,7,1.2086,0
632201,2021-04-10,542947,3,9.4663,3
632201,2021-04-10,544727,1,0.0535,0
632201,2021-04-10,554340,3,1.7577,0
632201,2021-04-10,571670,3,6.8768,3
632201,2021-04-10,594798,28,30.6193,0
632201,2021-04-10,621242,6,2.9997,0
632201,2021-04-10,669432,22,32.8067,11
632202,2021-04-10,489265,4,1.2433,0
632202,2021-04-10,518617,5,2.4692,0
632202,2021-04-10,519151,4,0.4881,0
632202,2021-04-10,592773,4,1.0436,0
632202,2021-04-10,593423,24,23.4459,0
632202,2021-04-10,605525,3,0.576,0
632202,2021-04-10,656232,7,1.6321,0
632202,2021-04-10,664353,24,24.1973,0
632203,2021-04-12,458677,3,6.8768,3
632203,2021-04-12,503285,5,5.2587,0
632203,2021-04-12,503569,5,5.7689,0
632203,2021-04-12,543037,22,28.3198,6
632203,2021-04-12,547973,4,4.0111,0
632203,2021-04-12,592662,19,23.2633,2
632203,2021-04-12,621366,3,2.9858,0
632203,2021-04-12,641835,1,0.4083,0
632203,2021-04-12,663423,5,2.4228,0
632204,2021-04-12,607192,25,41.3893,12
632204,2021-04-12,621368,12,19.6658,7
632204,2021-04-12,641540,16,18.7705,0
632204,2021-04-12,642003,1,2.2988,1
632204,2021-04-12,650895,5,16.5389,5
632204,2021-04-12,667463,3,1.9018,0
632205,2021-04-10,501381,22,30.1782,7
632205,2021-04-10,517008,5,10.6845,4
632205,2021-04-10,573124,7,21.7955,7
632205,2021-04-10,579328,24,29.6219,4
632205,2021-04-10,594987,4,8.4395,4
632205,2021-04-10,606160,6,19.1399,6
632205,2021-04-10,608648,4,7.7347,4
632205,2021-04-10,608665,3,3.5135,1
632205,2021-04-10,641871,3,13.0066,3
632206,2021-04-13,433589,1,2.0151,1
632206,2021-04-13,461872,5,6.8923,1
632206,2021-04-13,489265,3,9.4663,3
632206,2021-04-13,500610,10,2.2744,0
632206,2021-04-13,592473,3,6.4244,3
632206,2021-04-13,607179,2,0.4285,0
632206,2021-04-13,642152,3,3.395,0
632206,2021-04-13,656464,3,2.8943,1
632206,2021-04-13,661255,5,3.395,0
632206,2021-04-13,664199,10,4.6378,0
632206,2021-04-13,666200,16,12.9408,0
632206,2021-04-13,668678,18,16.2902,0
632207,2021-04-11,458708,4,4.5415,0
632207,2021-04-11,518858,4,4.8043,0
632207,2021-04-11,519043,24,21.0468,2
632207,2021-04-11,519293,4,10.3563,3
632207,2021-04-11,592767,20,21.9424,0
632207,2021-04-11,593576,3,12.7572,3
632207,2021-04-11,621237,4,10.0301,4
632207,2021-04-11,621345,3,7.2916,3
632207,2021-04-11,641401,3,5.3859,3
632207,2021-04-11,656322,4,8.4594,4
632208,2021-08-10,448855,3,2.87,0
632208,2021-08-10,503569,4,3.1494,0
632208,2021-08-10,571927,23,26.5747,0
632208,2021-08-10,628452,3,2.9059,0
632208,2021-08-10,642048,3,1.2419,0
632208,2021-08-10,663423,5,4.3292,0
