fetched_at,region,credits_used,credits_remaining
2026-08-05T23:11:29Z,us,3,14349
2026-08-05T23:11:29Z,eu,3,14346
2026-08-06T00:56:39Z,us,3,14343
2026-08-06T00:56:39Z,eu,3,14340
2026-08-06T03:30:01Z,us,3,14337
2026-08-06T03:30:01Z,eu,3,14334
2026-08-06T04:47:41Z,us,3,14330
2026-08-06T04:47:41Z,eu,3,14327
2026-08-07T00:44:12Z,us,3,14321
2026-08-07T00:44:12Z,eu,3,14318
2026-08-07T01:37:34Z,us,3,14315
2026-08-07T01:37:34Z,eu,3,14312
2026-08-07T03:59:12Z,us,3,14308
2026-08-07T03:59:12Z,eu,3,14305
2026-08-07T16:04:56Z,us,3,14300
2026-08-07T16:04:56Z,eu,3,14297
2026-08-07T17:05:06Z,us,3,14294
2026-08-07T17:05:06Z,eu,3,14291
2026-08-07T17:59:51Z,us,3,14288
2026-08-07T17:59:51Z,eu,3,14285
2026-08-07T19:09:58Z,us,3,14282
2026-08-07T19:09:58Z,eu,3,14279
2026-08-07T20:53:11Z,us,3,14275
2026-08-07T20:53:11Z,eu,3,14272
2026-08-07T21:51:15Z,us,3,14269
2026-08-07T21:51:15Z,eu,3,14266
2026-08-07T22:43:37Z,us,3,14261
2026-08-07T22:43:37Z,eu,3,14258
2026-08-07T22:50:10Z,us,3,14255
2026-08-07T22:50:10Z,eu,3,14252
2026-08-07T23:08:48Z,us,3,14249
2026-08-07T23:08:48Z,eu,3,14246
2026-08-07T23:43:05Z,us,3,14243
2026-08-07T23:43:05Z,eu,3,14240
2026-08-08T00:03:12Z,us,3,14237
2026-08-08T00:03:12Z,eu,3,14234
2026-08-08T02:14:10Z,us,3,14231
2026-08-08T02:14:10Z,eu,3,14228
2026-08-08T02:30:58Z,us,3,14223
2026-08-08T02:30:58Z,eu,3,14220
2026-08-08T04:17:44Z,us,3,14217
2026-08-08T04:17:44Z,eu,3,14214
2026-08-08T15:39:13Z,us,3,14207
2026-08-08T15:39:13Z,eu,3,14204
2026-08-08T16:47:56Z,us,3,14201
2026-08-08T16:47:56Z,eu,3,14198
2026-08-08T17:40:10Z,us,3,14195
2026-08-08T17:40:10Z,eu,3,14192
2026-08-08T18:53:24Z,us,3,14189
2026-08-08T18:53:24Z,eu,3,14186
2026-08-08T19:38:34Z,us,3,14181
2026-08-08T19:38:34Z,eu,3,14178
2026-08-08T20:43:31Z,us,3,14175
2026-08-08T20:43:31Z,eu,3,14172
2026-08-08T21:40:39Z,us,3,14168
2026-08-08T21:40:39Z,eu,3,14165
2026-08-08T22:40:32Z,us,3,14161
2026-08-08T22:40:32Z,eu,3,14158
2026-08-08T23:01:02Z,us,3,14154
2026-08-08T23:01:02Z,eu,3,14151
2026-08-08T23:39:13Z,us,3,14148
2026-08-08T23:39:13Z,eu,3,14145
2026-08-08T23:58:03Z,us,3,14141
2026-08-08T23:58:03Z,eu,3,14138
2026-08-09T02:23:54Z,us,3,14135
2026-08-09T02:23:54Z,eu,3,14132
2026-08-09T02:37:29Z,us,3,14127
2026-08-09T02:37:29Z,eu,3,14124
2026-08-09T04:25:09Z,us,3,14121
2026-08-09T04:25:09Z,eu,3,14118
2026-08-09T15:41:13Z,us,3,14085
2026-08-09T15:41:13Z,eu,3,14082
2026-08-09T16:48:51Z,us,3,14079
2026-08-09T16:48:51Z,eu,3,14076
2026-08-09T17:41:34Z,us,3,14073
2026-08-09T17:41:34Z,eu,3,14070
2026-08-09T18:55:15Z,us,3,14067
2026-08-09T18:55:15Z,eu,3,14064
2026-08-09T19:43:28Z,us,3,14059
2026-08-09T19:43:28Z,eu,3,14056
2026-08-09T20:47:47Z,us,3,14053
2026-08-09T20:47:47Z,eu,3,14050
2026-08-09T21:43:05Z,us,3,14047
2026-08-09T21:43:05Z,eu,3,14044
2026-08-09T22:43:45Z,us,3,14041
2026-08-09T22:43:45Z,eu,3,14038
2026-08-09T23:03:05Z,us,3,14035
2026-08-09T23:03:05Z,eu,3,14032
2026-08-09T23:41:17Z,us,3,14029
2026-08-09T23:41:17Z,eu,3,14026
2026-08-10T00:01:44Z,us,3,14023
2026-08-10T00:01:44Z,eu,3,14020
2026-08-10T02:28:48Z,us,3,14017
2026-08-10T02:28:48Z,eu,3,14014
2026-08-10T02:54:34Z,us,3,14009
2026-08-10T02:54:34Z,eu,3,14006
2026-08-10T04:48:42Z,us,3,14003
2026-08-10T04:48:42Z,eu,3,14000
2026-08-10T16:07:12Z,us,3,13993
2026-08-10T16:07:12Z,eu,3,13990
2026-08-10T17:57:51Z,us,3,13987
2026-08-10T17:57:51Z,eu,3,13984
2026-08-10T19:10:16Z,us,3,13971
2026-08-10T19:10:16Z,eu,3,13968
2026-08-10T20:56:13Z,us,3,13963
2026-08-10T20:56:13Z,eu,3,13960
2026-08-10T21:53:06Z,us,3,13957
2026-08-10T21:53:06Z,eu,3,13954
