game_pk,official_date,season,home_elo,away_elo,elo_diff,home_off,home_def,away_off,away_def,home_recent_off,home_recent_def,away_recent_off,away_recent_def,home_rest,away_rest,rest_diff,home_games_played,away_games_played,home_sp_rate,away_sp_rate,home_sp_recent,away_sp_recent,home_sp_starts,away_sp_starts,home_sp_rest,away_sp_rest,home_sp_k_rate,away_sp_k_rate,home_sp_bb_rate,away_sp_bb_rate,home_sp_hr_rate,away_sp_hr_rate,home_sp_depth,away_sp_depth,home_bp_rate,away_bp_rate,home_bp_workload,away_bp_workload,park_factor,elevation_km,home_sp_xwoba,away_sp_xwoba,home_sp_whiff,away_sp_whiff,home_off_xwoba,away_off_xwoba,home_off_barrel,away_off_barrel,ump_run_rate,ump_k_rate,temp_c,air_density_index,wind_out_to_center_ms,wind_left_to_right_ms,precip_mm,roof_retractable,roof_dome,expected_home_runs_prior,expected_away_runs_prior
634642,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.01676,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,6.9,0.97755,4.187,4.043,0.0,0,0,4.5,4.5
634645,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.18288,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,-0.3,0.95515,6.376,0.558,0.0,0,0,4.5,4.5
634638,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.18197,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,2.7,0.96035,2.913,2.913,0.0,1,0,4.5,4.5
634634,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.18136000000000002,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,1.1,0.95419,-4.378,2.843,0.0,0,0,4.5,4.5
634622,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.0060999999999999995,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,9.7,0.98451,-2.528,5.956,0.0,0,0,4.5,4.5
634615,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,1.5819100000000001,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,21.4,1.22209,0.512,-1.335,0.0,0,0,4.5,4.5
634618,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.00701,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,30.8,1.05985,-0.681,3.504,0.0,0,0,4.5,4.5
634630,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.26091000000000003,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,10.0,0.99506,-1.197,0.508,0.0,0,0,4.5,4.5
634636,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.16307,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,2.7,0.95989,5.929,1.045,0.0,0,0,4.5,4.5
634652,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.0030499999999999998,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,29.1,1.05892,-3.092,-1.508,0.0,1,0,4.5,4.5
634655,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.046020000000000005,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,27.6,1.0538,0.224,3.543,0.0,0,0,4.5,4.5
634640,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.0030499999999999998,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,23.3,1.03209,0.886,2.572,0.0,0,0,4.5,4.5
634625,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.0030499999999999998,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,11.1,0.99121,-1.705,1.828,0.0,1,0,4.5,4.5
634627,2021-04-02,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.0064,0.31,0.31,0.245,0.245,0.31,0.31,0.075,0.075,0.0,0.0,3.6,0.95662,3.825,2.679,0.0,0,0,4.5,4.5
634602,2021-04-02,2021,1498.5180958426322,1501.4819041573678,21.036191685264384,4.390243902439025,4.414634146341464,4.414634146341464,4.390243902439025,0.0,1.0,1.0,0.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.16504854368932,4.077669902912621,9.0,9.0,1.0,0.0030499999999999998,0.31,0.31,0.245,0.245,0.25100787912087913,0.29221579787693325,0.05555555555555555,0.06875,0.0,0.0,21.6,1.0223,2.071,6.013,0.0,1,0,4.283164782867342,4.330887699120894
634653,2021-04-02,2021,1502.581369129744,1497.418630870256,29.162738259487924,4.585365853658536,4.512195121951219,4.512195121951219,4.585365853658536,8.0,5.0,5.0,8.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.3428571428571425,4.280130293159608,15.0,7.0,1.0,1.5819100000000001,0.31,0.31,0.245,0.245,0.29266004421768704,0.3483055871926815,0.059782608695652176,0.06043956043956044,0.0,0.0,23.1,1.23451,-1.075,-2.531,0.0,0,0,4.672351113755039,4.524423293013417
634631,2021-04-02,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.487804878048781,4.463414634146342,4.463414634146342,4.487804878048781,4.0,3.0,3.0,4.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.077669902912621,4.266233766233766,9.0,8.0,1.0,0.046020000000000005,0.31,0.31,0.245,0.245,0.3209800392265443,0.27391049991645783,0.09375,0.06626506024096386,0.0,0.0,20.2,1.02679,3.167,0.581,0.0,0,0,4.47564280520854,4.4271267102914935
634605,2021-04-02,2021,1495.5542875278966,1504.4457124721034,15.108575055793153,4.414634146341464,4.585365853658536,4.585365853658536,4.414634146341464,1.0,8.0,8.0,1.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.485530546623794,4.16504854368932,11.0,9.0,1.0,0.0030499999999999998,0.31,0.31,0.245,0.245,0.2983298795321638,0.37563220333918385,0.05555555555555555,0.09444444444444444,0.0,0.0,15.5,1.00234,1.053,4.56,0.0,0,0,4.330887699120894,4.672351113755039
634576,2021-04-02,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.585365853658536,4.560975609756097,4.560975609756097,4.585365853658536,8.0,7.0,7.0,8.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.284345047923322,4.211538461538462,13.0,12.0,1.0,0.00701,0.31,0.31,0.245,0.245,0.3379422020600173,0.3355360460727647,0.0783132530120482,0.10795454545454546,0.0,0.0,16.2,1.00783,-0.184,2.102,0.0,0,0,4.672351113755039,4.622777447286667
634578,2021-04-02,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.585365853658536,4.560975609756097,4.560975609756097,4.585365853658536,8.0,7.0,7.0,8.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.211538461538462,4.719869706840391,12.0,7.0,1.0,0.0030499999999999998,0.31,0.31,0.245,0.245,0.3138984127684613,0.3397367311811094,0.06547619047619048,0.10326086956521739,0.0,0.0,11.2,0.9863,-1.121,2.201,0.0,1,0,4.672351113755039,4.622777447286667
634644,2021-04-03,2021,1498.5180958426322,1501.4819041573678,21.036191685264384,4.439024390243903,4.463414634146342,4.463414634146342,4.439024390243903,2.0,3.0,3.0,2.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.098726114649681,4.012738853503184,14.0,14.0,1.0,0.01676,0.31,0.31,0.245,0.245,0.29413615841584156,0.2830700262390671,0.06707317073170732,0.06626506024096386,0.0,0.0,8.3,0.96551,2.694,2.694,0.0,0,0,4.378875008262279,4.4271267102914935
634573,2021-04-03,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.463414634146342,4.439024390243903,4.439024390243903,4.463414634146342,3.0,2.0,2.0,3.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2387096774193544,4.117647058823529,10.0,6.0,1.0,0.18288,0.31,0.31,0.245,0.245,0.29718504537160667,0.31530306498183064,0.08552631578947369,0.07471264367816093,0.0,0.0,10.8,0.99929,-5.894,-4.605,0.0,0,0,4.4271267102914935,4.378875008262279
634577,2021-04-03,2021,1497.0361916852644,1502.9638083147356,18.07238337052877,4.390243902439025,4.463414634146342,4.463414634146342,4.390243902439025,0.0,3.0,3.0,0.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.22508038585209,4.117647058823529,11.0,6.0,1.0,0.0064,0.31,0.31,0.245,0.245,0.27341214756671905,0.27742118750000005,0.05555555555555555,0.05172413793103448,0.0,0.0,7.7,0.96579,1.03,4.463,0.0,0,0,4.283164782867342,4.4271267102914935
634604,2021-04-03,2021,1502.9968767528137,1497.0031232471863,29.99375350562741,4.7317073170731705,4.634146341463414,4.634146341463414,4.7317073170731705,14.0,10.0,10.0,14.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.235294117647059,4.653250773993808,23.0,23.0,1.0,0.26091000000000003,0.31,0.31,0.245,0.245,0.38256647285866796,0.3062555084566596,0.08152173913043478,0.06547619047619048,0.0,0.0,20.8,1.04732,6.002,-0.315,0.0,0,0,4.97534536320973,4.772291625355277
