audit_id,event_id,home_team,away_team,commence_time,snapshot_role,requested_snapshot,returned_snapshot,status,quote_count,odds_credits_used,discovery_credits_used,credits_remaining,error
d18bceb2663d46029f10157b97e706b4|close|2020-07-23T22:48:00Z|us,d18bceb2663d46029f10157b97e706b4,Washington Nationals,New York Yankees,2020-07-23T23:08:00Z,close,2020-07-23T22:48:00Z,2020-07-23T22:45:00Z,offered,22,30,1,4999954,
761f244afb0826308e05516d7ee62028|close|2020-07-24T01:48:00Z|us,761f244afb0826308e05516d7ee62028,Los Angeles Dodgers,San Francisco Giants,2020-07-24T02:08:00Z,close,2020-07-24T01:48:00Z,2020-07-24T01:45:00Z,offered,22,30,0,4999924,
5362faebd839aba16645925fd2877f16|close|2020-07-24T19:50:00Z|us,5362faebd839aba16645925fd2877f16,New York Mets,Atlanta Braves,2020-07-24T20:10:00Z,close,2020-07-24T19:50:00Z,2020-07-24T19:45:00Z,offered,22,30,1,4999894,
ab83aa5a5a728ed73800df3d8017c2c6|close|2020-07-24T21:50:00Z|us,ab83aa5a5a728ed73800df3d8017c2c6,Cincinnati Reds,Detroit Tigers,2020-07-24T22:10:00Z,close,2020-07-24T21:50:00Z,2020-07-24T21:45:00Z,offered,22,30,0,4999864,
bdb8bc00b3f5252820765a8d3095e41c|close|2020-07-24T22:20:00Z|us,bdb8bc00b3f5252820765a8d3095e41c,Tampa Bay Rays,Toronto Blue Jays,2020-07-24T22:40:00Z,close,2020-07-24T22:20:00Z,2020-07-24T22:15:00Z,offered,21,30,0,4999834,
36b3a2628aa7e0b1dea537fc0c1a5fc1|close|2020-07-24T22:45:00Z|us,36b3a2628aa7e0b1dea537fc0c1a5fc1,Philadelphia Phillies,Miami Marlins,2020-07-24T23:05:00Z,close,2020-07-24T22:45:00Z,2020-07-24T22:45:00Z,offered,21,30,0,4999804,
1281d17b74b86bb3b3d180c78ff5fc75|close|2020-07-24T22:50:00Z|us,1281d17b74b86bb3b3d180c78ff5fc75,Cleveland Indians,Kansas City Royals,2020-07-24T23:10:00Z,close,2020-07-24T22:50:00Z,2020-07-24T22:45:00Z,offered,21,30,0,4999774,
bc7076c47f686c1d96b9724e351183b9|close|2020-07-24T22:50:00Z|us,bc7076c47f686c1d96b9724e351183b9,Chicago Cubs,Milwaukee Brewers,2020-07-24T23:10:00Z,close,2020-07-24T22:50:00Z,2020-07-24T22:45:00Z,offered,22,30,0,4999744,
31240d68a83b3ff7697edeb9ec9a4138|close|2020-07-24T23:10:00Z|us,31240d68a83b3ff7697edeb9ec9a4138,Boston Red Sox,Baltimore Orioles,2020-07-24T23:30:00Z,close,2020-07-24T23:10:00Z,2020-07-24T23:05:00Z,offered,22,30,0,4999714,
2212c7a8e3fdc632bf415d3e31b5be5b|close|2020-07-24T23:45:00Z|us,2212c7a8e3fdc632bf415d3e31b5be5b,Texas Rangers,Colorado Rockies,2020-07-25T00:05:00Z,close,2020-07-24T23:45:00Z,2020-07-24T23:45:00Z,offered,22,30,0,4999684,
3219754b083697c0baedb656269d2a42|close|2020-07-24T23:50:00Z|us,3219754b083697c0baedb656269d2a42,Chicago White Sox,Minnesota Twins,2020-07-25T00:10:00Z,close,2020-07-24T23:50:00Z,2020-07-24T23:45:00Z,offered,21,30,0,4999654,
556c3c6a371b6c01d058f9b1854c5c4b|close|2020-07-24T23:55:00Z|us,556c3c6a371b6c01d058f9b1854c5c4b,St. Louis Cardinals,Pittsburgh Pirates,2020-07-25T00:15:00Z,close,2020-07-24T23:55:00Z,2020-07-24T23:55:00Z,offered,18,30,0,4999624,
50dd3a6fdbeccfe35d07c19df2d51e4d|close|2020-07-25T00:50:00Z|us,50dd3a6fdbeccfe35d07c19df2d51e4d,Houston Astros,Seattle Mariners,2020-07-25T01:10:00Z,close,2020-07-25T00:50:00Z,2020-07-25T00:45:00Z,offered,21,30,0,4999594,
68e590f70d2011d9d1e57f3f707204aa|close|2020-07-25T00:50:00Z|us,68e590f70d2011d9d1e57f3f707204aa,San Diego Padres,Arizona Diamondbacks,2020-07-25T01:10:00Z,close,2020-07-25T00:50:00Z,2020-07-25T00:45:00Z,offered,18,30,0,4999564,
e9e04c9c8c7fef83fd4c1bd8330155fd|close|2020-07-25T01:20:00Z|us,e9e04c9c8c7fef83fd4c1bd8330155fd,Los Angeles Dodgers,San Francisco Giants,2020-07-25T01:40:00Z,close,2020-07-25T01:20:00Z,2020-07-25T01:15:00Z,offered,19,30,0,4999534,
f3d55972ef29e50511fa343dd8a8fc6d|close|2020-07-25T01:50:00Z|us,f3d55972ef29e50511fa343dd8a8fc6d,Oakland Athletics,Los Angeles Angels,2020-07-25T02:10:00Z,close,2020-07-25T01:50:00Z,2020-07-25T01:45:00Z,offered,21,30,0,4999504,
75d9586e74b6860dce9d36ad668aa722|close|2020-07-25T16:45:00Z|us,75d9586e74b6860dce9d36ad668aa722,Chicago Cubs,Milwaukee Brewers,2020-07-25T17:05:00Z,close,2020-07-25T16:45:00Z,2020-07-25T16:45:00Z,offered,22,30,1,4999474,
3946d64de2e3206c3f32063740965772|close|2020-07-25T17:15:00Z|us,3946d64de2e3206c3f32063740965772,Boston Red Sox,Baltimore Orioles,2020-07-25T17:35:00Z,close,2020-07-25T17:15:00Z,2020-07-25T17:15:00Z,offered,22,30,0,4999444,
f3f35ffb96886f0fc5bc82c753ce5342|close|2020-07-25T17:50:00Z|us,f3f35ffb96886f0fc5bc82c753ce5342,Chicago White Sox,Minnesota Twins,2020-07-25T18:10:00Z,close,2020-07-25T17:50:00Z,2020-07-25T17:45:00Z,offered,22,30,0,4999414,
