game_pk,official_date,game_date_utc,season,game_type,double_header,game_number,series_game_number,day_night,scheduled_innings,status,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,home_win,total_runs,run_diff,home_sp_id,home_sp_name,away_sp_id,away_sp_name,venue_id,venue_name,reported_condition,reported_temp_f,reported_wind,innings_played,home_batted_ninth
634615,2021-04-01,2021-04-01T20:10:00Z,2021,R,N,1,1,day,9,Final,115,Colorado Rockies,119,Los Angeles Dodgers,8,5,1,13,3,608566,Germán Márquez,477132,Clayton Kershaw,19,Coors Field,Sunny,70,"5 mph, Out To CF",9,0
634618,2021-04-01,2021-04-01T20:10:00Z,2021,R,N,1,1,day,9,Final,135,San Diego Padres,109,Arizona Diamondbacks,8,7,1,15,1,506433,Yu Darvish,518516,Madison Bumgarner,2680,Petco Park,Partly Cloudy,85,"10 mph, L To R",9,0
634622,2021-04-01,2021-04-01T19:05:00Z,2021,R,N,1,1,day,9,Final,143,Philadelphia Phillies,144,Atlanta Braves,3,2,1,5,1,605400,Aaron Nola,608331,Max Fried,2681,Citizens Bank Park,Partly Cloudy,49,"19 mph, L To R",10,1
634625,2021-04-01,2021-04-02T02:10:00Z,2021,R,N,1,4,night,9,Final,136,Seattle Mariners,137,San Francisco Giants,8,7,1,15,1,594835,Marco Gonzales,592332,Kevin Gausman,680,T-Mobile Park,Cloudy,54,"3 mph, In From RF",10,1
634630,2021-04-01,2021-04-01T20:10:00Z,2021,R,N,1,1,day,9,Final,118,Kansas City Royals,140,Texas Rangers,14,10,1,24,4,641745,Brad Keller,502043,Kyle Gibson,7,Kauffman Stadium,Sunny,50,"4 mph, In From RF",9,0
634634,2021-04-01,2021-04-01T18:20:00Z,2021,R,N,1,1,day,9,Final,112,Chicago Cubs,134,Pittsburgh Pirates,3,5,0,8,-2,543294,Kyle Hendricks,641771,Chad Kuhl,17,Wrigley Field,Sunny,36,"7 mph, L To R",9,1
634636,2021-04-01,2021-04-01T20:10:00Z,2021,R,N,1,4,day,9,Final,113,Cincinnati Reds,138,St. Louis Cardinals,6,11,0,17,-5,622491,Luis Castillo,656427,Jack Flaherty,2602,Great American Ball Park,Cloudy,37,"16 mph, Out To RF",9,1
634638,2021-04-01,2021-04-01T18:10:00Z,2021,R,N,1,1,day,9,Final,158,Milwaukee Brewers,142,Minnesota Twins,6,5,1,11,1,605540,Brandon Woodruff,628317,Kenta Maeda,32,American Family Field,Roof Closed,63,"0 mph, None",10,1
634640,2021-04-01,2021-04-02T02:07:00Z,2021,R,N,1,1,night,9,Final,133,Oakland Athletics,117,Houston Astros,1,8,0,9,-7,605135,Chris Bassitt,425844,Zack Greinke,10,Oakland Coliseum,Clear,68,"9 mph, Out To RF",9,1
634642,2021-04-01,2021-04-01T17:05:00Z,2021,R,N,1,1,day,9,Final,147,New York Yankees,141,Toronto Blue Jays,2,3,0,5,-1,543037,Gerrit Cole,547943,Hyun Jin Ryu,3313,Yankee Stadium,Cloudy,43,"16 mph, In From RF",10,1
634645,2021-04-01,2021-04-01T17:10:00Z,2021,R,N,1,1,day,9,Final,116,Detroit Tigers,114,Cleveland Indians,3,2,1,5,1,571510,Matthew Boyd,669456,Shane Bieber,2394,Comerica Park,Snow,32,"15 mph, Out To CF",9,0
634652,2021-04-01,2021-04-01T20:10:00Z,2021,R,N,1,1,day,9,Final,146,Miami Marlins,139,Tampa Bay Rays,0,1,0,1,-1,645261,Sandy Alcantara,607192,Tyler Glasnow,4169,loanDepot park,Roof Closed,72,"0 mph, None",9,1
634655,2021-04-01,2021-04-02T02:05:00Z,2021,R,N,1,1,night,9,Final,108,Los Angeles Angels,145,Chicago White Sox,4,3,1,7,1,605164,Dylan Bundy,608337,Lucas Giolito,1,Angel Stadium,Partly Cloudy,81,"6 mph, Out To CF",9,0
634576,2021-04-02,2021-04-03T02:10:00Z,2021,R,N,1,2,night,9,Final,135,San Diego Padres,109,Arizona Diamondbacks,4,2,1,6,2,605483,Blake Snell,518876,Merrill Kelly,2680,Petco Park,Clear,63,"5 mph, L To R",9,0
634578,2021-04-02,2021-04-03T02:10:00Z,2021,R,N,1,5,night,9,Final,136,Seattle Mariners,137,San Francisco Giants,3,6,0,9,-3,579328,Yusei Kikuchi,456501,Johnny Cueto,680,T-Mobile Park,Partly Cloudy,53,"2 mph, L To R",9,1
634602,2021-04-02,2021-04-02T23:10:00Z,2021,R,N,1,2,night,9,Final,146,Miami Marlins,139,Tampa Bay Rays,4,6,0,10,-2,641154,Pablo López,642232,Ryan Yarbrough,4169,loanDepot park,Roof Closed,74,"0 mph, None",9,1
634605,2021-04-02,2021-04-03T01:40:00Z,2021,R,N,1,2,night,9,Final,133,Oakland Athletics,117,Houston Astros,5,9,0,14,-4,666200,Jesús Luzardo,664299,Cristian Javier,10,Oakland Coliseum,Partly Cloudy,55,"17 mph, Out To RF",9,1
634627,2021-04-02,2021-04-02T18:10:00Z,2021,R,N,1,1,day,9,Final,111,Boston Red Sox,110,Baltimore Orioles,0,3,0,3,-3,543135,Nathan Eovaldi,607644,John Means,3,Fenway Park,Cloudy,37,"10 mph, Out To RF",9,1
634631,2021-04-02,2021-04-03T01:38:00Z,2021,R,N,1,2,night,9,Final,108,Los Angeles Angels,145,Chicago White Sox,8,12,0,20,-4,571760,Andrew Heaney,572971,Dallas Keuchel,1,Angel Stadium,Clear,66,"10 mph, Out To LF",9,1
634653,2021-04-02,2021-04-03T00:40:00Z,2021,R,N,1,2,night,9,Final,115,Colorado Rockies,119,Los Angeles Dodgers,6,11,0,17,-5,622608,Antonio Senzatela,545333,Trevor Bauer,19,Coors Field,Clear,73,"6 mph, Out To LF",9,1
634573,2021-04-03,2021-04-03T17:10:00Z,2021,R,N,1,2,day,9,Final,116,Detroit Tigers,114,Cleveland Indians,5,2,1,7,3,527054,Julio Teheran,668676,Zach Plesac,2394,Comerica Park,Partly Cloudy,49,"20 mph, L To R",9,0
634575,2021-04-03,2021-04-03T23:10:00Z,2021,R,N,1,2,night,9,Final,158,Milwaukee Brewers,142,Minnesota Twins,0,2,0,2,-2,669203,Corbin Burnes,621244,José Berríos,32,American Family Field,Roof Closed,65,"0 mph, None",9,1
634577,2021-04-03,2021-04-03T17:10:00Z,2021,R,N,1,2,day,9,Final,111,Boston Red Sox,110,Baltimore Orioles,2,4,0,6,-2,656557,Tanner Houck,518774,Matt Harvey,3,Fenway Park,Sunny,46,"15 mph, L To R",9,1
634580,2021-04-03,2021-04-03T20:05:00Z,2021,R,N,1,2,day,9,Final,143,Philadelphia Phillies,144,Atlanta Braves,4,0,1,4,4,554430,Zack Wheeler,450203,Charlie Morton,2681,Citizens Bank Park,Sunny,53,"8 mph, L To R",9,0
634596,2021-04-03,2021-04-03T22:10:00Z,2021,R,N,1,3,night,9,Final,146,Miami Marlins,139,Tampa Bay Rays,12,7,1,19,5,622694,Elieser Hernández,448179,Rich Hill,4169,loanDepot park,Roof Closed,70,"0 mph, None",9,0
634604,2021-04-03,2021-04-03T18:10:00Z,2021,R,N,1,2,day,9,Final,118,Kansas City Royals,140,Texas Rangers,11,4,1,15,7,501985,Mike Minor,685503,Kohei Arihara,7,Kauffman Stadium,Sunny,68,"15 mph, L To R",9,0
634623,2021-04-03,2021-04-04T00:40:00Z,2021,R,N,1,3,night,9,Final,135,San Diego Padres,109,Arizona Diamondbacks,7,0,1,7,7,605397,Joe Musgrove,592761,Caleb Smith,2680,Petco Park,Clear,64,"15 mph, Out To RF",9,0
634629,2021-04-03,2021-04-03T20:07:00Z,2021,R,N,1,3,day,9,Final,133,Oakland Athletics,117,Houston Astros,1,9,0,10,-8,608344,Cole Irvin,621121,Lance McCullers Jr.,10,Oakland Coliseum,Partly Cloudy,60,"12 mph, Out To RF",9,1
634633,2021-04-03,2021-04-04T00:10:00Z,2021,R,N,1,3,night,9,Final,115,Colorado Rockies,119,Los Angeles Dodgers,5,6,0,11,-1,592351,Jon Gray,621111,Walker Buehler,19,Coors Field,Clear,77,"8 mph, R To L",9,1
634639,2021-04-03,2021-04-04T01:10:00Z,2021,R,N,1,6,night,9,Final,136,Seattle Mariners,137,San Francisco Giants,4,0,1,4,4,623167,Chris Flexen,657277,Logan Webb,680,T-Mobile Park,Cloudy,60,"2 mph, Calm",9,0
634643,2021-04-03,2021-04-03T18:20:00Z,2021,R,N,1,2,day,9,Final,112,Chicago Cubs,134,Pittsburgh Pirates,5,1,1,6,4,453562,Jake Arrieta,542881,Tyler Anderson,17,Wrigley Field,Sunny,62,"8 mph, Out To CF",9,0
634644,2021-04-03,2021-04-03T17:05:00Z,2021,R,N,1,2,day,9,Final,147,New York Yankees,141,Toronto Blue Jays,5,3,1,8,2,446372,Corey Kluber,548389,Ross Stripling,3313,Yankee Stadium,Sunny,44,"11 mph, Out To RF",9,0
634646,2021-04-03,2021-04-04T01:07:00Z,2021,R,N,1,3,night,9,Final,108,Los Angeles Angels,145,Chicago White Sox,5,3,1,8,2,502171,Alex Cobb,458681,Lance Lynn,1,Angel Stadium,Clear,71,"10 mph, Out To CF",9,0
634654,2021-04-03,2021-04-03T20:10:00Z,2021,R,N,1,5,day,9,Final,113,Cincinnati Reds,138,St. Louis Cardinals,9,6,1,15,3,641816,Tyler Mahle,425794,Adam Wainwright,2602,Great American Ball Park,Sunny,66,"13 mph, R To L",9,0
634557,2021-04-04,2021-04-04T19:10:00Z,2021,R,N,1,4,day,9,Final,115,Colorado Rockies,119,Los Angeles Dodgers,2,4,0,6,-2,596295,Austin Gomber,628711,Julio Urías,19,Coors Field,Cloudy,77,"10 mph, L To R",9,1
634560,2021-04-04,2021-04-04T17:10:00Z,2021,R,N,1,6,day,9,Final,113,Cincinnati Reds,138,St. Louis Cardinals,12,1,1,13,11,656546,Jeff Hoffman,593372,Carlos Martinez,2602,Great American Ball Park,Sunny,66,"3 mph, Calm",9,0
634572,2021-04-04,2021-04-04T20:10:00Z,2021,R,N,1,4,day,9,Final,135,San Diego Padres,109,Arizona Diamondbacks,1,3,0,4,-2,663978,Chris Paddack,642203,Taylor Widener,2680,Petco Park,Sunny,71,"6 mph, L To R",9,1
634593,2021-04-04,2021-04-04T18:10:00Z,2021,R,N,1,3,day,9,Final,118,Kansas City Royals,140,Texas Rangers,3,7,0,10,-4,663903,Brady Singer,543475,Jordan Lyles,7,Kauffman Stadium,Sunny,76,"15 mph, R To L",9,1
634597,2021-04-04,2021-04-04T18:10:00Z,2021,R,N,1,3,day,9,Final,158,Milwaukee Brewers,142,Minnesota Twins,2,8,0,10,-6,605288,Adrian Houser,501381,Michael Pineda,32,American Family Field,Sunny,67,"12 mph, In From CF",9,1
634607,2021-04-04,2021-04-04T17:05:00Z,2021,R,N,1,3,day,9,Final,147,New York Yankees,141,Toronto Blue Jays,1,3,0,4,-2,593334,Domingo Germán,643615,T.J. Zeuch,3313,Yankee Stadium,Sunny,53,"6 mph, In From RF",9,1
634610,2021-04-04,2021-04-04T17:10:00Z,2021,R,N,1,3,day,9,Final,111,Boston Red Sox,110,Baltimore Orioles,3,11,0,14,-8,572070,Garrett Richards,669145,Bruce Zimmermann,3,Fenway Park,Sunny,56,"10 mph, L To R",9,1
634611,2021-04-04,2021-04-04T17:10:00Z,2021,R,N,1,3,day,9,Final,116,Detroit Tigers,114,Cleveland Indians,3,9,0,12,-6,669373,Tarik Skubal,650644,Aaron Civale,2394,Comerica Park,Sunny,61,"3 mph, L To R",9,1
634613,2021-04-04,2021-04-04T18:20:00Z,2021,R,N,1,3,day,9,Final,112,Chicago Cubs,134,Pittsburgh Pirates,4,3,1,7,1,605200,Zach Davies,656605,Mitch Keller,17,Wrigley Field,Sunny,68,"3 mph, R To L",9,0
634617,2021-04-04,2021-04-04T17:05:00Z,2021,R,N,1,3,day,9,Final,143,Philadelphia Phillies,144,Atlanta Braves,2,1,1,3,1,621107,Zach Eflin,666120,Ian Anderson,2681,Citizens Bank Park,Sunny,63,"5 mph, In From CF",9,0
634637,2021-04-04,2021-04-05T00:37:00Z,2021,R,N,1,4,night,9,Final,108,Los Angeles Angels,145,Chicago White Sox,7,4,1,11,3,660271,Shohei Ohtani,656302,Dylan Cease,1,Angel Stadium,Partly Cloudy,72,"13 mph, Out To LF",9,1
634651,2021-04-04,2021-04-04T20:07:00Z,2021,R,N,1,4,day,9,Final,133,Oakland Athletics,117,Houston Astros,2,9,0,11,-7,640455,Sean Manaea,664353,José Urquidy,10,Oakland Coliseum,Partly Cloudy,61,"10 mph, Out To RF",9,1
634551,2021-04-05,2021-04-06T02:10:00Z,2021,R,N,1,1,night,9,Final,136,Seattle Mariners,145,Chicago White Sox,0,6,0,6,-6,656954,Justus Sheffield,607074,Carlos Rodón,680,T-Mobile Park,Clear,51,"3 mph, Out To CF",9,1
634552,2021-04-05,2021-04-06T01:38:00Z,2021,R,N,1,1,night,9,Final,108,Los Angeles Angels,117,Houston Astros,7,6,1,13,1,500779,Jose Quintana,677651,Luis Garcia,1,Angel Stadium,Partly Cloudy,65,"10 mph, R To L",9,0
634558,2021-04-05,2021-04-05T22:40:00Z,2021,R,N,1,1,night,9,Final,113,Cincinnati Reds,134,Pittsburgh Pirates,5,3,1,8,2,592254,José De León,664141,JT Brubaker,2602,Great American Ball Park,Clear,80,"11 mph, R To L",9,0
634562,2021-04-05,2021-04-05T22:40:00Z,2021,R,N,1,1,night,9,Final,146,Miami Marlins,138,St. Louis Cardinals,1,4,0,5,-3,669432,Trevor Rogers,594965,Daniel Ponce de Leon,4169,loanDepot park,Clear,72,"13 mph, L To R",9,1
634566,2021-04-05,2021-04-05T23:40:00Z,2021,R,N,1,1,night,9,Final,112,Chicago Cubs,158,Milwaukee Brewers,5,3,1,8,2,592866,Trevor Williams,474463,Brett Anderson,17,Wrigley Field,Partly Cloudy,71,"4 mph, R To L",9,0
634587,2021-04-05,2021-04-05T22:35:00Z,2021,R,N,1,1,night,9,Final,147,New York Yankees,110,Baltimore Orioles,7,0,1,7,7,656756,Jordan Montgomery,605347,Jorge López,3313,Yankee Stadium,Clear,65,"17 mph, Out To RF",9,0
634588,2021-04-05,2021-04-05T17:10:00Z,2021,R,N,1,1,day,9,Final,116,Detroit Tigers,142,Minnesota Twins,6,15,0,21,-9,570632,José Ureña,533167,Matt Shoemaker,2394,Comerica Park,Cloudy,49,"8 mph, In From CF",9,1
634591,2021-04-05,2021-04-06T02:10:00Z,2021,R,N,1,1,night,9,Final,135,San Diego Padres,137,San Francisco Giants,2,3,0,5,-1,670970,Adrian Morejon,543101,Anthony DeSclafani,2680,Petco Park,Partly Cloudy,61,"8 mph, Out To RF",9,1
634600,2021-04-05,2021-04-06T01:40:00Z,2021,R,N,1,1,night,9,Final,133,Oakland Athletics,119,Los Angeles Dodgers,3,10,0,13,-7,593423,Frankie Montas,669160,Dustin May,10,Oakland Coliseum,Cloudy,55,"15 mph, Out To RF",9,1
634601,2021-04-05,2021-04-05T23:10:00Z,2021,R,N,1,1,night,9,Final,111,Boston Red Sox,139,Tampa Bay Rays,11,2,1,13,9,601713,Nick Pivetta,608379,Michael Wacha,3,Fenway Park,Cloudy,56,"15 mph, L To R",9,0
634606,2021-04-05,2021-04-05T23:05:00Z,2021,R,N,1,1,night,9,Final,143,Philadelphia Phillies,121,New York Mets,5,3,1,8,2,519043,Matt Moore,594798,Jacob deGrom,2681,Citizens Bank Park,Partly Cloudy,67,"17 mph, In From LF",9,0
634612,2021-04-05,2021-04-05T20:05:00Z,2021,R,N,1,1,day,9,Final,140,Texas Rangers,141,Toronto Blue Jays,2,6,0,8,-4,592314,Mike Foltynewicz,571927,Steven Matz,5325,Globe Life Field,Partly Cloudy,73,"15 mph, Varies",9,1
634616,2021-04-05,2021-04-05T20:10:00Z,2021,R,N,1,1,day,9,Final,114,Cleveland Indians,118,Kansas City Royals,0,3,0,3,-3,663531,Logan Allen,518633,Danny Duffy,5,Progressive Field,Cloudy,44,"14 mph, In From RF",9,1
634529,2021-04-06,2021-04-07T02:10:00Z,2021,R,N,1,2,night,9,Final,135,San Diego Padres,137,San Francisco Giants,3,1,1,4,2,506433,Yu Darvish,592717,Aaron Sanchez,2680,Petco Park,Clear,63,"7 mph, Out To RF",9,0
634530,2021-04-06,2021-04-06T22:40:00Z,2021,R,N,1,2,night,9,Final,113,Cincinnati Reds,134,Pittsburgh Pirates,14,1,1,15,13,489119,Wade Miley,502239,Trevor Cahill,2602,Great American Ball Park,Partly Cloudy,78,"10 mph, Varies",9,0
634559,2021-04-06,2021-04-06T23:40:00Z,2021,R,N,1,2,night,9,Final,112,Chicago Cubs,158,Milwaukee Brewers,0,4,0,4,-4,640470,Adbert Alzolay,642547,Freddy Peralta,17,Wrigley Field,Partly Cloudy,79,"11 mph, Out To CF",9,1
634586,2021-04-06,2021-04-06T20:07:00Z,2021,R,N,1,2,day,9,Final,108,Los Angeles Angels,117,Houston Astros,2,4,0,6,-2,605164,Dylan Bundy,425844,Zack Greinke,1,Angel Stadium,Partly Cloudy,70,"8 mph, Out To LF",9,1
634590,2021-04-06,2021-04-06T23:10:00Z,2021,R,N,1,2,night,9,Final,111,Boston Red Sox,139,Tampa Bay Rays,6,5,1,11,1,527048,Martín Pérez,607192,Tyler Glasnow,3,Fenway Park,Cloudy,51,"9 mph, In From RF",12,1
634594,2021-04-06,2021-04-06T22:40:00Z,2021,R,N,1,2,night,9,Final,146,Miami Marlins,138,St. Louis Cardinals,2,4,0,6,-2,645261,Sandy Alcantara,607231,John Gant,4169,loanDepot park,Partly Cloudy,72,"12 mph, In From LF",9,1
634599,2021-04-06,2021-04-06T22:35:00Z,2021,R,N,1,2,night,9,Final,147,New York Yankees,110,Baltimore Orioles,7,2,1,9,5,543037,Gerrit Cole,665152,Dean Kremer,3313,Yankee Stadium,Clear,68,"11 mph, In From LF",9,0
634603,2021-04-06,2021-04-06T17:10:00Z,2021,R,N,1,2,day,9,Final,116,Detroit Tigers,142,Minnesota Twins,4,3,1,7,1,663554,Casey Mize,457918,J.A. Happ,2394,Comerica Park,Sunny,68,"5 mph, In From CF",10,1
634608,2021-04-06,2021-04-06T23:05:00Z,2021,R,N,1,2,night,9,Final,143,Philadelphia Phillies,121,New York Mets,4,8,0,12,-4,502624,Chase Anderson,573186,Marcus Stroman,2681,Citizens Bank Park,Clear,72,"12 mph, In From LF",9,1
634609,2021-04-06,2021-04-07T02:10:00Z,2021,R,N,1,2,night,9,Final,136,Seattle Mariners,145,Chicago White Sox,4,10,0,14,-6,572020,James Paxton,608337,Lucas Giolito,680,T-Mobile Park,Partly Cloudy,54,"3 mph, In From LF",9,1
634619,2021-04-06,2021-04-07T00:40:00Z,2021,R,N,1,1,night,9,Final,115,Colorado Rockies,109,Arizona Diamondbacks,8,10,0,18,-2,608566,Germán Márquez,596133,Luke Weaver,19,Coors Field,Cloudy,40,"11 mph, R To L",13,1
634624,2021-04-06,2021-04-06T20:05:00Z,2021,R,N,1,1,day,9,Final,120,Washington Nationals,144,Atlanta Braves,6,5,1,11,1,453286,Max Scherzer,592767,Drew Smyly,3309,Nationals Park,Partly Cloudy,74,"5 mph, L To R",9,1
634628,2021-04-06,2021-04-07T01:40:00Z,2021,R,N,1,2,night,9,Final,133,Oakland Athletics,119,Los Angeles Dodgers,1,5,0,6,-4,605135,Chris Bassitt,477132,Clayton Kershaw,10,Oakland Coliseum,Clear,61,"18 mph, Varies",9,1
634635,2021-04-06,2021-04-07T00:05:00Z,2021,R,N,1,2,night,9,Final,140,Texas Rangers,141,Toronto Blue Jays,7,4,1,11,3,641540,Dane Dunning,543699,Tanner Roark,5325,Globe Life Field,Roof Closed,72,"0 mph, None",9,0
634527,2021-04-07,2021-04-07T16:05:00Z,2021,R,Y,1,2,day,7,Final,120,Washington Nationals,144,Atlanta Braves,6,7,0,13,-1,607200,Erick Fedde,608331,Max Fried,3309,Nationals Park,Sunny,75,"2 mph, R To L",7,1
634539,2021-04-07,2021-04-07T22:35:00Z,2021,R,N,1,3,night,9,Final,147,New York Yankees,110,Baltimore Orioles,3,4,0,7,-1,592791,Jameson Taillon,607644,John Means,3313,Yankee Stadium,Clear,67,"8 mph, Out To LF",11,1
634542,2021-04-07,2021-04-08T00:40:00Z,2021,R,N,1,2,night,9,Final,115,Colorado Rockies,109,Arizona Diamondbacks,8,0,1,8,8,622608,Antonio Senzatela,518516,Madison Bumgarner,19,Coors Field,Clear,61,"9 mph, In From LF",9,0
634549,2021-04-07,2021-04-07T18:20:00Z,2021,R,N,1,3,day,9,Final,112,Chicago Cubs,158,Milwaukee Brewers,2,4,0,6,-2,543294,Kyle Hendricks,605540,Brandon Woodruff,17,Wrigley Field,Cloudy,74,"5 mph, Out To LF",10,1
634563,2021-04-07,2021-04-07T20:10:00Z,2021,R,N,1,3,day,9,Final,135,San Diego Padres,137,San Francisco Giants,2,3,0,5,-1,605483,Blake Snell,592332,Kevin Gausman,2680,Petco Park,Sunny,70,"7 mph, L To R",10,1
634567,2021-04-07,2021-04-07T19:37:00Z,2021,R,N,1,3,day,9,Final,133,Oakland Athletics,119,Los Angeles Dodgers,4,3,1,7,1,666200,Jesús Luzardo,545333,Trevor Bauer,10,Oakland Coliseum,Partly Cloudy,58,"14 mph, Out To RF",10,1
634570,2021-04-07,2021-04-07T16:35:00Z,2021,R,N,1,3,day,9,Final,113,Cincinnati Reds,134,Pittsburgh Pirates,11,4,1,15,7,622491,Luis Castillo,641771,Chad Kuhl,2602,Great American Ball Park,Partly Cloudy,77,"8 mph, R To L",9,0
634583,2021-04-07,2021-04-07T18:05:00Z,2021,R,N,1,3,day,9,Final,140,Texas Rangers,141,Toronto Blue Jays,2,1,1,3,1,502043,Kyle Gibson,547943,Hyun Jin Ryu,5325,Globe Life Field,Sunny,72,"12 mph, Varies",9,0
634585,2021-04-07,2021-04-07T20:10:00Z,2021,R,N,1,3,day,9,Final,146,Miami Marlins,138,St. Louis Cardinals,0,7,0,7,-7,641154,Pablo López,656427,Jack Flaherty,4169,loanDepot park,Roof Closed,74,"0 mph, None",9,1
634589,2021-04-07,2021-04-07T17:10:00Z,2021,R,N,1,2,day,9,Final,114,Cleveland Indians,118,Kansas City Royals,4,2,1,6,2,669456,Shane Bieber,596001,Jakob Junis,5,Progressive Field,Sunny,73,"7 mph, L To R",9,0
634592,2021-04-07,2021-04-07T20:10:00Z,2021,R,N,1,3,day,9,Final,136,Seattle Mariners,145,Chicago White Sox,8,4,1,12,4,643290,Justin Dunn,572971,Dallas Keuchel,680,T-Mobile Park,Roof Closed,47,"2 mph, Calm",9,0
634595,2021-04-07,2021-04-07T16:10:00Z,2021,R,Y,2,3,day,7,Final,120,Washington Nationals,144,Atlanta Braves,0,2,0,2,-2,544931,Stephen Strasburg,660623,Huascar Ynoa,3309,Nationals Park,Clear,81,"5 mph, In From LF",7,1
634598,2021-04-07,2021-04-07T17:10:00Z,2021,R,N,1,3,day,9,Final,116,Detroit Tigers,142,Minnesota Twins,2,3,0,5,-1,571510,Matthew Boyd,628317,Kenta Maeda,2394,Comerica Park,Sunny,74,"5 mph, R To L",9,1
634626,2021-04-07,2021-04-07T20:05:00Z,2021,R,N,1,3,day,9,Final,143,Philadelphia Phillies,121,New York Mets,8,2,1,10,6,605400,Aaron Nola,656849,David Peterson,2681,Citizens Bank Park,Sunny,66,"5 mph, Out To CF",9,0
634641,2021-04-07,2021-04-07T17:10:00Z,2021,R,N,1,3,day,9,Final,111,Boston Red Sox,139,Tampa Bay Rays,9,2,1,11,7,543135,Nathan Eovaldi,642232,Ryan Yarbrough,3,Fenway Park,Cloudy,55,"9 mph, In From LF",9,0
634544,2021-04-08,2021-04-08T19:05:00Z,2021,R,N,1,1,day,9,Final,110,Baltimore Orioles,111,Boston Red Sox,3,7,0,10,-4,518774,Matt Harvey,593958,Eduardo Rodriguez,2,Oriole Park at Camden Yards,Sunny,67,"6 mph, R To L",9,1
634545,2021-04-08,2021-04-08T23:07:00Z,2021,R,N,1,1,night,9,Final,141,Toronto Blue Jays,108,Los Angeles Angels,5,7,0,12,-2,548389,Ross Stripling,656288,Griffin Canning,2536,TD Ballpark,Clear,80,"11 mph, In From RF",11,1
634546,2021-04-08,2021-04-09T00:10:00Z,2021,R,N,1,1,night,9,Final,117,Houston Astros,133,Oakland Athletics,6,2,1,8,4,664299,Cristian Javier,608344,Cole Irvin,2392,Minute Maid Park,Partly Cloudy,82,"14 mph, Out To LF",9,0
634550,2021-04-08,2021-04-08T20:10:00Z,2021,R,N,1,1,day,9,Final,142,Minnesota Twins,136,Seattle Mariners,10,2,1,12,8,621244,José Berríos,594835,Marco Gonzales,3312,Target Field,Rain,67,"10 mph, L To R",9,0
634555,2021-04-08,2021-04-08T17:35:00Z,2021,R,N,1,1,day,9,Final,134,Pittsburgh Pirates,112,Chicago Cubs,2,4,0,6,-2,542881,Tyler Anderson,453562,Jake Arrieta,31,PNC Park,Sunny,80,"16 mph, In From CF",9,1
634564,2021-04-08,2021-04-08T19:10:00Z,2021,R,N,1,3,day,9,Final,115,Colorado Rockies,109,Arizona Diamondbacks,7,3,1,10,4,592351,Jon Gray,518876,Merrill Kelly,19,Coors Field,Sunny,68,"13 mph, In From LF",9,0
634565,2021-04-08,2021-04-08T20:10:00Z,2021,R,N,1,1,day,9,Final,145,Chicago White Sox,118,Kansas City Royals,6,0,1,6,6,458681,Lance Lynn,641745,Brad Keller,4,Guaranteed Rate Field,Overcast,58,"2 mph, In From RF",9,0
634568,2021-04-08,2021-04-08T20:15:00Z,2021,R,N,1,1,day,9,Final,138,St. Louis Cardinals,158,Milwaukee Brewers,3,1,1,4,2,425794,Adam Wainwright,669203,Corbin Burnes,2889,Busch Stadium,Cloudy,54,"12 mph, Out To LF",9,0
634584,2021-04-08,2021-04-08T17:10:00Z,2021,R,N,1,1,day,9,Final,121,New York Mets,146,Miami Marlins,3,2,1,5,1,592836,Taijuan Walker,663734,Nick Neidert,3289,Citi Field,Sunny,66,"5 mph, Out To LF",9,1
634478,2021-04-09,2021-04-10T00:05:00Z,2021,R,N,1,1,night,9,Final,140,Texas Rangers,135,San Diego Padres,0,3,0,3,-3,685503,Kohei Arihara,605397,Joe Musgrove,5325,Globe Life Field,Roof Closed,72,"0 mph, None",9,1
634494,2021-04-09,2021-04-09T20:35:00Z,2021,R,N,1,1,day,9,Final,137,San Francisco Giants,115,Colorado Rockies,3,1,1,4,2,456501,Johnny Cueto,596295,Austin Gomber,2395,Oracle Park,Partly Cloudy,57,"17 mph, Out To CF",9,0
