wager_id,placed_at,event_id,game_pk,official_date,commence_time,home_team,away_team,market,point,side,standalone_model_prob,model_prob,market_prob,disagreement,predicted_clv,expected_value,risk_bucket,price,book,stake,market_books,market_spread,book_updated_at,quote_age_minutes,lead_minutes,wide_market,model_version,model_revision,feature_schema,model_kind,distribution_family,trained_through,market_offset_version,staking_policy_version,leader_weight,execution_status,settled_at,outcome,profit
823753|totals|7.0|home,2026-08-05T23:17:03Z,,823753,2026-08-05,2026-08-05T23:40:00Z,Milwaukee Brewers,Pittsburgh Pirates,totals,7.0,home,,0.64001,0.5,0.14001,,,,-107.0,LowVig.ag,1.0,11,0.01299376,,,26,0,diamond-v0,,,glm,,,,paper-flat-1u-daycap3-v1,,,2026-08-10T22:21:52Z,loss,-1.0
823753|spreads|-1.5|home,2026-08-05T23:17:03Z,,823753,2026-08-05,2026-08-05T23:40:00Z,Milwaukee Brewers,Pittsburgh Pirates,spreads,-1.5,home,,0.454088,0.358249,0.095839,,,,180.0,FanDuel,1.0,11,0.02605085,,,26,0,diamond-v0,,,glm,,,,paper-flat-1u-daycap3-v1,,,2026-08-10T22:21:52Z,win,1.8
824082|spreads|1.5|away,2026-08-05T23:17:03Z,,824082,2026-08-05,2026-08-05T23:41:00Z,Kansas City Royals,Minnesota Twins,spreads,1.5,away,,0.442775,0.363583,0.079192,,,,164.0,FanDuel,1.0,3,0.00353482,,,27,0,diamond-v0,,,glm,,,,paper-flat-1u-daycap3-v1,,,2026-08-10T22:21:52Z,loss,-1.0
825053|spreads|1.5|away,2026-08-07T00:46:44Z,,825053,2026-08-06,2026-08-07T01:41:00Z,Arizona Diamondbacks,San Diego Padres,spreads,1.5,away,,0.451333,0.384042,0.067291,,,,152.0,FanDuel,1.0,7,0.01391635,,,54,0,diamond-v0,,,glm,,,,paper-flat-1u-daycap3-v1,,,2026-08-10T22:21:52Z,win,1.52
825053|totals|9.0|home,2026-08-07T00:46:44Z,,825053,2026-08-06,2026-08-07T01:41:00Z,Arizona Diamondbacks,San Diego Padres,totals,9.0,home,,0.562205,0.5,0.062205,,,,-105.0,Caesars,1.0,11,0.02402395,,,54,0,diamond-v0,,,glm,,,,paper-flat-1u-daycap3-v1,,,2026-08-10T22:21:52Z,loss,-1.0
825053|spreads|-1.5|home,2026-08-07T00:46:44Z,,825053,2026-08-06,2026-08-07T01:41:00Z,Arizona Diamondbacks,San Diego Padres,spreads,-1.5,home,,0.374499,0.336348,0.038151,,,,189.0,LowVig.ag,1.0,4,0.00644438,,,54,0,diamond-v0,,,glm,,,,paper-flat-1u-daycap3-v1,,,2026-08-10T22:21:52Z,loss,-1.0
823428|totals|8.0|home,2026-08-07T19:13:36Z,,823428,2026-08-07,2026-08-07T22:41:00Z,Philadelphia Phillies,Toronto Blue Jays,totals,8.0,home,,0.603908,0.478261,0.125647,,,,103.0,LowVig.ag,1.0,5,0.00856374,,,207,0,diamond-v0,,,glm,,,,paper-flat-1u-daycap3-v1,,,2026-08-10T22:21:52Z,win,1.03
823428|h2h||away,2026-08-07T19:13:36Z,,823428,2026-08-07,2026-08-07T22:41:00Z,Philadelphia Phillies,Toronto Blue Jays,h2h,,away,,0.463926,0.342986,0.12094,,,,191.0,DraftKings,1.0,11,0.01356819,,,207,0,diamond-v0,,,glm,,,,paper-flat-1u-daycap3-v1,,,2026-08-10T22:21:52Z,win,1.91
823428|totals|7.5|home,2026-08-07T19:13:36Z,,823428,2026-08-07,2026-08-07T22:41:00Z,Philadelphia Phillies,Toronto Blue Jays,totals,7.5,home,,0.640297,0.519686,0.12061,,,,-115.0,Bovada,1.0,6,0.01707,,,207,0,diamond-v0,,,glm,,,,paper-flat-1u-daycap3-v1,,,2026-08-10T22:21:52Z,win,0.8696
823514|h2h||home,2026-08-08T15:40:42Z,,823514,2026-08-08,2026-08-08T19:05:00Z,New York Yankees,Atlanta Braves,h2h,,home,,0.592603,0.427779,0.164824,,,,130.0,DraftKings,1.0,11,0.01434501,,,204,0,diamond-v0,,,glm,,,,paper-flat-1u-daycap3-v1,,,2026-08-10T22:21:52Z,win,1.3
