game_pk,game_date,player_id,role,is_home,pitches,batters_faced,swings,whiffs,called_strikes,in_zone,batted_balls,barrels,xwoba_sum,xwoba_denom,woba_sum,woba_denom,launch_speed_sum,launch_speed_count,release_speed_sum,release_speed_count,spin_rate_sum,spin_rate_count,delta_run_exp_sum
823244,2026-03-25,608331,pitcher,0.0,86,23.0,36.0,6.0,17.0,41.0,17.0,0.0,6.985023,23.0,3.2,23.0,2205.4,26.0,7606.6,86.0,192533.0,86.0,-3.5930000000000004
823244,2026-03-25,656234,pitcher,0.0,7,2.0,3.0,2.0,2.0,4.0,1.0,0.0,0.067,2.0,0.0,2.0,82.9,1.0,640.6,7.0,17414.0,7.0,-0.521
823244,2026-03-25,657277,pitcher,1.0,86,26.0,39.0,9.0,19.0,45.0,17.0,2.0,9.603023,26.0,10.2,26.0,2323.6,28.0,7667.2,86.0,165255.0,86.0,1.166
823244,2026-03-25,664141,pitcher,1.0,22,7.0,8.0,4.0,4.0,8.0,4.0,0.0,1.971544,7.0,1.6,7.0,365.9,4.0,1964.8,22.0,51706.0,22.0,-0.482
823244,2026-03-25,666808,pitcher,0.0,13,4.0,6.0,1.0,1.0,5.0,4.0,0.0,0.7810000000000001,4.0,0.9,4.0,404.1,5.0,1231.2,13.0,32918.0,13.0,-0.2809999999999999
823244,2026-03-25,668873,pitcher,1.0,10,3.0,4.0,1.0,2.0,4.0,2.0,0.0,0.222,3.0,0.0,3.0,270.5,3.0,942.6,10.0,25382.0,10.0,-0.781
823244,2026-03-25,676775,pitcher,1.0,19,4.0,11.0,4.0,2.0,11.0,1.0,1.0,1.4555440000000002,4.0,0.7,4.0,512.7,6.0,1751.8,19.0,36430.0,19.0,-0.333
823244,2026-03-25,687396,pitcher,0.0,15,5.0,9.0,5.0,0.0,5.0,3.0,1.0,2.158544,5.0,1.6,5.0,354.20000000000005,4.0,1330.6,15.0,33957.0,15.0,-0.2049999999999999
823244,2026-03-25,519317,batter,0.0,11,4.0,5.0,2.0,3.0,5.0,3.0,1.0,1.739,4.0,1.8,4.0,287.70000000000005,3.0,974.1,11.0,23664.0,11.0,0.369
823244,2026-03-25,592450,batter,0.0,24,5.0,10.0,4.0,5.0,12.0,1.0,0.0,0.159,5.0,0.0,5.0,420.6,5.0,2179.6,24.0,44817.0,24.0,-1.494
823244,2026-03-25,641355,batter,0.0,17,5.0,7.0,2.0,4.0,8.0,3.0,0.0,0.996,5.0,0.9,5.0,433.3,5.0,1578.3,17.0,35386.0,17.0,-0.6489999999999999
823244,2026-03-25,641857,batter,0.0,18,4.0,8.0,5.0,3.0,9.0,1.0,0.0,0.797544,4.0,1.6,4.0,234.3,3.0,1588.9,18.0,37907.0,18.0,0.401
823244,2026-03-25,642715,batter,1.0,14,4.0,7.0,1.0,2.0,8.0,3.0,0.0,0.842,4.0,0.9,4.0,256.2,3.0,1223.1,14.0,33665.0,14.0,-0.3999999999999999
823244,2026-03-25,646240,batter,1.0,11,4.0,7.0,1.0,1.0,5.0,4.0,0.0,1.131,4.0,0.9,4.0,508.3,6.0,1002.2,11.0,24634.0,11.0,-0.394
823244,2026-03-25,650333,batter,1.0,15,4.0,5.0,0.0,3.0,7.0,3.0,0.0,2.004544,4.0,1.6,4.0,417.0,5.0,1373.2,15.0,31472.0,15.0,0.262
823244,2026-03-25,656305,batter,1.0,17,4.0,7.0,1.0,2.0,6.0,3.0,0.0,1.608544,4.0,0.7,4.0,511.8,6.0,1494.7,17.0,37325.0,17.0,-0.602
823244,2026-03-25,663757,batter,0.0,18,5.0,10.0,2.0,3.0,11.0,4.0,2.0,2.5540000000000003,5.0,1.6,5.0,449.3,6.0,1634.7,18.0,35116.0,18.0,0.022
823244,2026-03-25,664056,batter,1.0,10,3.0,7.0,4.0,1.0,7.0,1.0,0.0,0.003,3.0,0.0,3.0,203.2,3.0,866.2,10.0,22377.0,10.0,-0.7989999999999999
823244,2026-03-25,665862,batter,0.0,8,4.0,3.0,0.0,2.0,4.0,3.0,0.0,2.043479,4.0,1.6,4.0,280.9,3.0,686.3,8.0,17074.0,8.0,0.133
823244,2026-03-25,669224,batter,0.0,14,4.0,9.0,2.0,0.0,7.0,3.0,0.0,2.206544,4.0,2.5,4.0,612.9,7.0,1273.2,14.0,25919.0,14.0,1.005
823244,2026-03-25,669477,batter,1.0,10,4.0,4.0,1.0,2.0,5.0,3.0,0.0,1.157479,4.0,0.7,4.0,278.0,3.0,909.4,10.0,23842.0,10.0,-0.4059999999999999
