game_pk,weather_source,weather_hour_utc,temp_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_direction_deg,precip_mm,wind_out_to_center_ms,wind_left_to_right_ms,roof_category
823997,open-meteo-forecast,2026-08-12T01:00,26.1,67,1007.7,4.19,230,0.0,4.164,0.466,open
823994,open-meteo-forecast,2026-08-13T02:00,22.7,76,1006.8,3.14,239,0.0,3.027,0.833,open
823995,open-meteo-forecast,2026-08-14T02:00,22.6,62,1007.2,4.26,219,0.0,4.246,-0.342,open
823993,open-meteo-forecast,2026-08-15T01:00,24.6,53,1008.0,3.92,218,0.0,3.901,-0.383,open
823990,open-meteo-forecast,2026-08-16T01:00,25.4,49,1009.4,4.66,211,0.0,4.548,-1.017,open
823991,open-meteo-forecast,2026-08-16T20:00,28.6,37,1011.0,4.38,235,0.0,4.294,0.865,open
823992,open-meteo-forecast,2026-08-25T01:00,30.0,33,1002.2,3.52,215,0.0,3.48,-0.527,open
823989,open-meteo-forecast,2026-08-26T01:00,29.4,36,1002.1,4.08,211,0.0,3.982,-0.891,open
822942,open-meteo-forecast,2026-08-14T23:00,32.6,55,1015.9,6.0,323,0.0,0.0,0.0,dome
822941,open-meteo-forecast,2026-08-15T22:00,33.2,51,1016.2,1.39,339,0.0,0.0,0.0,dome
822940,open-meteo-forecast,2026-08-16T16:00,31.1,62,1018.6,1.75,149,0.0,0.0,0.0,dome
822939,open-meteo-forecast,2026-08-17T22:00,31.8,60,1013.9,6.24,276,0.0,0.0,0.0,dome
822938,open-meteo-forecast,2026-08-18T22:00,31.7,62,1011.6,5.12,287,0.0,0.0,0.0,dome
822937,open-meteo-forecast,2026-08-19T22:00,29.8,71,1009.5,1.63,259,2.5,0.0,0.0,dome
822934,open-meteo-forecast,2026-08-20T17:00,32.5,58,1012.9,2.8,272,0.2,0.0,0.0,dome
822778,open-meteo-forecast,2026-08-11T23:00,25.7,47,1001.4,2.89,76,0.0,0.05,-2.89,retractable
822779,open-meteo-forecast,2026-08-12T23:00,19.6,92,1000.5,1.22,171,0.0,1.213,0.128,retractable
822776,open-meteo-forecast,2026-08-13T19:00,27.6,34,1000.1,4.37,286,0.0,-2.251,3.746,retractable
822777,open-meteo-forecast,2026-08-14T23:00,23.8,37,1012.1,3.37,348,0.0,-3.365,-0.176,retractable
822775,open-meteo-forecast,2026-08-15T19:00,20.6,52,1013.0,2.92,128,0.0,2.332,-1.757,retractable
822774,open-meteo-forecast,2026-08-16T17:00,22.7,87,999.7,4.4,219,0.3,2.586,3.56,retractable
822773,open-meteo-forecast,2026-08-25T23:00,19.4,43,1010.8,2.2,141,0.0,2.01,-0.895,retractable
825046,open-meteo-forecast,2026-08-12T01:00,38.1,23,970.8,4.8,272,0.0,-0.168,4.797,retractable
825047,open-meteo-forecast,2026-08-12T19:00,33.9,37,972.8,2.88,250,0.0,0.985,2.706,retractable
825045,open-meteo-forecast,2026-08-22T01:00,41.6,18,969.2,4.18,287,0.0,-1.222,3.997,retractable
825044,open-meteo-forecast,2026-08-23T00:00,41.0,19,968.0,5.68,284,0.0,-1.374,5.511,retractable
825043,open-meteo-forecast,2026-08-23T20:00,38.8,24,970.9,3.04,136,0.0,2.187,-2.112,retractable
825041,open-meteo-forecast,2026-08-25T01:00,29.6,48,963.9,12.71,50,0.2,-8.17,-9.736,retractable
825042,open-meteo-forecast,2026-08-26T01:00,36.8,27,965.1,2.27,229,0.0,1.489,1.713,retractable
824643,open-meteo-forecast,2026-08-14T18:00,23.2,64,1001.2,4.94,69,0.0,-4.189,-2.618,open
824644,open-meteo-forecast,2026-08-15T18:00,23.1,82,998.8,3.18,134,0.0,0.388,-3.156,open
824642,open-meteo-forecast,2026-08-16T19:00,27.5,60,993.0,4.03,353,0.0,-2.899,2.799,open
824641,open-meteo-forecast,2026-08-18T00:00,20.9,59,998.7,2.34,20,0.0,-2.238,0.684,open
824639,open-meteo-forecast,2026-08-19T00:00,24.2,53,991.6,1.12,100,0.0,-0.508,-0.998,open
824640,open-meteo-forecast,2026-08-19T18:00,24.5,55,994.6,4.08,31,0.0,-4.058,0.426,open
824320,open-meteo-forecast,2026-08-18T00:00,25.5,40,841.1,8.11,177,0.0,8.05,-0.988,open
824319,open-meteo-forecast,2026-08-19T00:00,32.1,21,843.8,5.67,189,0.0,5.648,0.494,open
824318,open-meteo-forecast,2026-08-20T00:00,29.7,26,840.0,6.41,267,0.0,0.781,6.362,open
824317,open-meteo-forecast,2026-08-22T00:00,19.6,67,841.7,4.52,162,0.2,4.191,-1.693,open
824316,open-meteo-forecast,2026-08-23T00:00,29.2,35,848.1,3.16,11,0.0,-3.136,-0.385,open
824315,open-meteo-forecast,2026-08-23T19:00,25.3,45,843.3,2.41,48,0.0,-1.734,-1.674,open
824803,open-meteo-forecast,2026-08-18T22:00,28.3,37,1015.2,2.78,120,0.0,-0.049,-2.78,open
824801,open-meteo-forecast,2026-08-19T22:00,29.0,58,1013.9,3.27,157,0.1,1.922,-2.645,open
824802,open-meteo-forecast,2026-08-20T22:00,31.6,32,1014.8,2.02,351,0.0,-1.547,1.298,open
824800,open-meteo-forecast,2026-08-21T23:00,32.0,41,1014.5,3.2,178,0.0,2.684,-1.743,open
824798,open-meteo-forecast,2026-08-22T23:00,35.0,38,1013.2,1.02,349,0.1,-0.758,0.683,open
824799,open-meteo-forecast,2026-08-23T17:00,19.6,85,1013.9,5.03,339,0.3,-3.097,3.964,open
823917,open-meteo-forecast,2026-08-12T02:00,23.3,77,994.2,3.07,251,0.0,2.171,2.171,open
823916,open-meteo-forecast,2026-08-13T02:00,21.1,83,992.7,3.23,254,0.0,2.161,2.4,open
823915,open-meteo-forecast,2026-08-14T02:00,22.1,61,993.2,4.19,237,0.0,3.592,2.158,open
823913,open-meteo-forecast,2026-08-15T02:00,22.9,57,994.2,4.67,227,0.0,4.36,1.674,open
823914,open-meteo-forecast,2026-08-15T23:00,29.0,34,995.6,5.14,243,0.0,4.105,3.093,open
823912,open-meteo-forecast,2026-08-16T20:00,29.1,31,997.2,4.16,235,0.0,3.638,2.017,open
823911,open-meteo-forecast,2026-08-22T02:00,27.5,42,992.6,3.49,207,0.0,3.489,0.061,open
823910,open-meteo-forecast,2026-08-22T23:00,31.2,29,993.1,4.31,226,0.0,4.05,1.474,open
823909,open-meteo-forecast,2026-08-23T20:00,31.8,27,993.4,4.05,237,0.0,3.472,2.086,open
824159,open-meteo-forecast,2026-08-15T00:00,33.0,49,1014.6,5.61,158,0.0,5.589,-0.489,retractable
824157,open-meteo-forecast,2026-08-15T23:00,37.4,27,1015.4,5.95,138,0.0,5.393,-2.515,retractable
824156,open-meteo-forecast,2026-08-16T23:00,37.2,27,1014.5,4.62,129,0.0,3.83,-2.583,retractable
824154,open-meteo-forecast,2026-08-19T00:00,34.7,48,1011.7,6.42,162,0.0,6.419,-0.112,retractable
824155,open-meteo-forecast,2026-08-20T00:00,35.1,45,1010.2,6.48,153,0.0,6.382,-1.125,retractable
824153,open-meteo-forecast,2026-08-21T00:00,35.2,33,1009.9,5.15,156,0.0,5.112,-0.628,retractable
824152,open-meteo-forecast,2026-08-22T00:00,33.8,42,1010.2,5.82,151,0.0,5.693,-1.21,retractable
824151,open-meteo-forecast,2026-08-22T23:00,34.7,38,1012.9,5.58,144,0.1,5.276,-1.817,retractable
824150,open-meteo-forecast,2026-08-23T18:00,35.0,42,1013.7,6.22,116,0.0,4.242,-4.549,retractable
824240,open-meteo-forecast,2026-08-11T22:00,27.3,71,990.9,4.59,200,0.0,-2.95,-3.516,open
824241,open-meteo-forecast,2026-08-12T22:00,31.0,47,988.3,4.49,238,0.0,-0.157,-4.487,open
824238,open-meteo-forecast,2026-08-13T17:00,29.4,48,991.7,1.1,85,0.0,-0.465,0.997,open
824237,open-meteo-forecast,2026-08-14T22:00,24.2,45,1000.9,5.22,73,0.0,-1.174,5.086,open
824239,open-meteo-forecast,2026-08-15T17:00,26.0,43,1003.7,2.72,186,0.0,-2.201,-1.599,open
824236,open-meteo-forecast,2026-08-16T17:00,30.7,64,989.1,3.69,303,0.0,3.288,-1.675,open
824235,open-meteo-forecast,2026-08-24T22:00,20.1,42,997.4,3.8,63,0.0,-0.199,3.795,open
824233,open-meteo-forecast,2026-08-25T22:00,22.3,40,999.2,3.61,146,0.0,-3.601,0.252,open
823186,open-meteo-forecast,2026-08-12T01:00,16.3,88,1012.0,5.84,263,0.0,5.836,-0.204,open
823187,open-meteo-forecast,2026-08-12T19:00,20.4,70,1012.2,5.96,235,0.0,5.162,-2.98,open
823185,open-meteo-forecast,2026-08-15T02:00,16.7,78,1014.0,5.53,257,0.0,5.476,-0.77,open
823184,open-meteo-forecast,2026-08-15T20:00,19.5,64,1016.6,5.26,249,0.0,5.056,-1.45,open
823182,open-meteo-forecast,2026-08-16T20:00,20.5,57,1017.0,3.72,264,0.0,3.719,-0.065,open
823183,open-meteo-forecast,2026-08-25T01:00,18.1,70,1008.9,4.1,270,0.0,4.084,0.357,open
823181,open-meteo-forecast,2026-08-26T01:00,17.0,74,1008.4,5.07,255,0.0,4.993,-0.88,open
824970,open-meteo-forecast,2026-08-12T01:00,31.1,36,1008.9,5.12,219,0.0,5.082,-0.624,open
824967,open-meteo-forecast,2026-08-12T19:00,27.2,40,1010.4,5.06,232,0.0,5.032,0.529,open
824968,open-meteo-forecast,2026-08-15T01:00,26.2,35,1010.4,6.04,219,0.0,5.995,-0.736,open
824966,open-meteo-forecast,2026-08-16T01:00,28.1,29,1012.1,5.28,209,0.0,5.049,-1.544,open
824965,open-meteo-forecast,2026-08-16T20:00,31.0,24,1014.7,1.17,200,0.0,1.052,-0.513,open
824964,open-meteo-forecast,2026-08-25T01:00,36.7,15,1004.4,5.29,202,0.0,4.833,-2.152,open
824962,open-meteo-forecast,2026-08-26T01:00,35.3,15,1002.9,5.57,201,0.0,5.048,-2.354,open
824479,open-meteo-forecast,2026-08-14T22:00,30.1,59,1002.0,3.32,46,0.0,-0.803,3.221,open
824480,open-meteo-forecast,2026-08-15T22:00,32.0,51,1002.4,1.78,128,0.0,-1.77,-0.186,open
824477,open-meteo-forecast,2026-08-16T17:00,36.2,40,997.8,4.94,238,0.0,2.166,-4.44,open
824478,open-meteo-forecast,2026-08-17T22:00,26.1,56,999.9,2.91,16,0.0,0.802,2.797,open
824514,open-meteo-forecast,2026-08-17T17:00,26.2,52,1000.4,3.44,8,0.0,1.399,3.143,open
